-40	0.061   0.011 
-30	0.078   0.014 
-20	0.082   0.015 
-10	0.107   0.024 
10	0.110   0.025 
20	0.099   0.017 
30	0.085   0.015 
40	0.049   0.009 
50	0.035   0.007 
60	0.029   0.006 
70	0.025   0.006 
80	0.017   0.004 
90	0.014   0.003 































